#datetime;AU#1:gas.atm.V.windspeed;AU#1:gas.atm.degree.mainwinddir;AU#1:gas.atm.degree.winddir;AU#2:gas.atm.V.windspeed;AU#2:gas.atm.degree.mainwinddir;AU#2:gas.atm.degree.winddir;AU#3:gas.atm.V.windspeed;AU#3:gas.atm.degree.mainwinddir;AU#3:gas.atm.degree.winddir;AU#4:gas.atm.V.windspeed;AU#4:gas.atm.degree.mainwinddir;AU#4:gas.atm.degree.winddir
19910812T090000;25;310;0;25;310;0;25;310;0;25;310;0
19910812T100000;NA;NA;327;NA;NA;322;NA;NA;351;NA;NA;333
19910812T110000;30;NA;306;30;NA;289;30;NA;325;30;NA;316
19910812T120000;NA;NA;349;NA;NA;268;NA;NA;340;NA;NA;308
19910812T130000;45;NA;305;45;NA;317;45;NA;286;45;NA;287
19910812T140000;NA;NA;298;NA;NA;319;NA;NA;317;NA;NA;348
19910812T150000;55;NA;286;55;NA;339;55;NA;340;55;NA;309
19910812T160000;NA;NA;296;NA;NA;285;NA;NA;288;NA;NA;299
19910812T170000;30;NA;300;30;NA;329;30;NA;334;30;NA;342
19910812T180000;NA;290;301;NA;290;298;NA;290;335;NA;290;255
19910812T190000;20;NA;270;20;NA;266;20;NA;306;20;NA;310
19910812T200000;NA;NA;317;NA;NA;304;NA;NA;292;NA;NA;255
19910812T210000;15;NA;305;15;NA;328;15;NA;321;15;NA;322
19910812T220000;NA;NA;296;NA;NA;265;NA;NA;323;NA;NA;253
19910812T230000;10;NA;331;10;NA;249;10;NA;285;10;NA;257
19910813T000000;NA;NA;256;NA;NA;305;NA;NA;309;NA;NA;281
19910813T010000;5;NA;267;5;NA;313;5;NA;327;5;NA;249
19910813T020000;NA;NA;305;NA;NA;300;NA;NA;317;NA;NA;287
19910813T030000;5;NA;334;5;NA;270;5;NA;274;5;NA;333
19910813T040000;NA;NA;328;NA;NA;256;NA;NA;331;NA;NA;309
19910813T050000;10;NA;332;10;NA;300;10;NA;296;10;NA;278
19910813T060000;NA;NA;313;NA;NA;268;NA;NA;324;NA;NA;332
19910813T063000;NA;320;NA;NA;320;NA;NA;320;NA;NA;320;NA
19910813T070000;30;NA;281;30;NA;5;30;NA;317;30;NA;287
19910813T080000;NA;NA;314;NA;NA;289;NA;NA;304;NA;NA;290
19910813T090000;50;NA;309;50;NA;352;50;NA;0;50;NA;305
19910813T100000;NA;NA;342;NA;NA;342;NA;NA;281;NA;NA;338
19910813T110000;75;NA;325;75;NA;284;75;NA;348;75;NA;304
19910813T120000;NA;NA;322;NA;NA;315;NA;NA;318;NA;NA;303
19910813T130000;95;NA;287;95;NA;324;95;NA;297;95;NA;324
19910813T140000;NA;NA;302;NA;NA;359;NA;NA;343;NA;NA;299
19910813T145000;NA;350;NA;NA;350;NA;NA;350;NA;NA;350;NA
19910813T150000;105;NA;342;105;NA;4;105;NA;352;105;NA;34
19910813T160000;NA;NA;11;NA;NA;18;NA;NA;330;NA;NA;322
19910813T170000;70;NA;334;70;NA;318;70;NA;16;70;NA;24
19910813T180000;NA;NA;15;NA;NA;317;NA;NA;326;NA;NA;331
19910813T190000;45;NA;329;45;NA;33;45;NA;333;45;NA;329
19910813T200000;NA;NA;25;NA;NA;10;NA;NA;1;NA;NA;342
19910813T210000;30;NA;357;30;NA;26;30;NA;34;30;NA;329
19910813T215000;NA;320;NA;NA;320;NA;NA;320;NA;NA;320;NA
19910813T220000;NA;NA;347;NA;NA;351;NA;NA;329;NA;NA;334
19910813T230000;10;NA;275;10;NA;345;10;NA;338;10;NA;293
19910814T000000;NA;NA;338;NA;NA;357;NA;NA;325;NA;NA;306
19910814T010000;10;NA;344;10;NA;287;10;NA;293;10;NA;343
19910814T020000;NA;NA;320;NA;NA;5;NA;NA;341;NA;NA;325
19910814T030000;10;NA;332;10;NA;351;10;NA;284;10;NA;337
19910814T040000;NA;NA;354;NA;NA;332;NA;NA;355;NA;NA;311
19910814T042000;NA;250;NA;NA;250;NA;NA;250;NA;NA;250;NA
19910814T050000;10;NA;216;10;NA;212;10;NA;266;10;NA;210
19910814T060000;NA;NA;256;NA;NA;218;NA;NA;222;NA;NA;290
19910814T070000;10;NA;248;10;NA;242;10;NA;255;10;NA;277
19910814T080000;NA;NA;212;NA;NA;275;NA;NA;257;NA;NA;208
19910814T090000;15;NA;272;15;NA;286;15;NA;258;15;NA;228
19910814T093000;NA;200;NA;NA;200;NA;NA;200;NA;NA;200;NA
19910814T100000;NA;NA;155;NA;NA;213;NA;NA;196;NA;NA;215
19910814T110000;25;NA;231;25;NA;213;25;NA;161;25;NA;239
19910814T120000;NA;NA;173;NA;NA;239;NA;NA;196;NA;NA;221
19910814T130000;35;NA;204;35;NA;186;35;NA;225;35;NA;195
19910814T140000;NA;NA;181;NA;NA;192;NA;NA;165;NA;NA;197
19910814T150000;40;NA;160;40;NA;234;40;NA;218;40;NA;216
19910814T153000;NA;230;NA;NA;230;NA;NA;230;NA;NA;230;NA
19910814T160000;NA;NA;226;NA;NA;231;NA;NA;197;NA;NA;203
19910814T170000;30;NA;193;30;NA;214;30;NA;237;30;NA;227
19910814T180000;NA;NA;210;NA;NA;224;NA;NA;201;NA;NA;193
19910814T190000;20;NA;273;20;NA;226;20;NA;244;20;NA;239
19910814T200000;NA;NA;246;NA;NA;216;NA;NA;245;NA;NA;251
19910814T210000;15;NA;268;15;NA;273;15;NA;203;15;NA;254
19910814T220000;NA;NA;232;NA;NA;274;NA;NA;205;NA;NA;208
19910814T230000;15;NA;272;15;NA;227;15;NA;216;15;NA;204
19910815T000000;NA;NA;211;NA;NA;194;NA;NA;240;NA;NA;256
19910815T010000;15;NA;187;15;NA;185;15;NA;220;15;NA;218
19910815T020000;NA;NA;240;NA;NA;238;NA;NA;225;NA;NA;254
19910815T030000;15;NA;217;15;NA;219;15;NA;212;15;NA;220
19910815T040000;NA;NA;245;NA;NA;225;NA;NA;190;NA;NA;200
19910815T050000;10;NA;256;10;NA;191;10;NA;206;10;NA;275
19910815T060000;NA;NA;213;NA;NA;188;NA;NA;226;NA;NA;203
19910815T070000;10;NA;215;10;NA;271;10;NA;205;10;NA;208
19910815T080000;NA;NA;199;NA;NA;203;NA;NA;216;NA;NA;275
19910815T084500;NA;270;NA;NA;270;NA;NA;270;NA;NA;270;NA
19910815T090000;20;NA;249;20;NA;307;20;NA;249;20;NA;308
19910815T100000;NA;NA;226;NA;NA;301;NA;NA;269;NA;NA;253
19910815T110000;20;NA;249;20;NA;242;20;NA;305;20;NA;288
19910815T120000;NA;NA;278;NA;NA;302;NA;NA;254;NA;NA;269
19910815T130000;20;NA;310;20;NA;279;20;NA;279;20;NA;297
19910815T140000;NA;NA;233;NA;NA;245;NA;NA;299;NA;NA;275
19910815T150000;30;NA;281;30;NA;228;30;NA;247;30;NA;315
19910815T160000;NA;NA;285;NA;NA;236;NA;NA;253;NA;NA;296
19910815T170000;30;NA;257;30;NA;249;30;NA;248;30;NA;287
19910815T180000;NA;NA;295;NA;NA;308;NA;NA;231;NA;NA;226
19910815T190000;20;NA;255;20;NA;265;20;NA;271;20;NA;279
19910815T200000;NA;NA;305;NA;NA;251;NA;NA;245;NA;NA;287
19910815T210000;15;NA;240;15;NA;294;15;NA;312;15;NA;278
19910815T220000;NA;NA;273;NA;NA;277;NA;NA;266;NA;NA;268
19910815T230000;15;NA;225;15;NA;288;15;NA;288;15;NA;258
19910816T000000;NA;NA;299;NA;NA;311;NA;NA;263;NA;NA;294
19910816T010000;10;NA;247;10;NA;263;10;NA;253;10;NA;248
19910816T020000;NA;NA;282;NA;NA;301;NA;NA;235;NA;NA;247
19910816T030000;10;280;238;10;280;236;10;280;252;10;280;312
19910816T040000;NA;NA;255;NA;NA;269;NA;NA;309;NA;NA;267
19910816T050000;10;NA;324;10;NA;292;10;NA;261;10;NA;315
19910816T060000;NA;NA;325;NA;NA;321;NA;NA;275;NA;NA;317
19910816T070000;30;NA;270;30;NA;294;30;NA;305;30;NA;283
19910816T080000;NA;NA;313;NA;NA;258;NA;NA;257;NA;NA;286
19910816T090000;45;NA;313;45;NA;302;45;NA;309;45;NA;309
19910816T100000;NA;NA;238;NA;NA;300;NA;NA;301;NA;NA;237
19910816T110000;55;NA;283;55;NA;282;55;NA;251;55;NA;253
19910816T120000;NA;NA;312;NA;NA;249;NA;NA;318;NA;NA;308
19910816T130000;60;NA;248;60;NA;270;60;NA;289;60;NA;325
19910816T140000;NA;NA;300;NA;NA;298;NA;NA;273;NA;NA;325
19910816T150000;50;NA;286;50;NA;256;50;NA;282;50;NA;246
19910816T160000;NA;NA;298;NA;NA;312;NA;NA;254;NA;NA;280
19910816T170000;25;NA;240;25;NA;323;25;NA;287;25;NA;242
19910816T180000;NA;NA;265;NA;NA;308;NA;NA;275;NA;NA;245
19910816T190000;20;NA;255;20;NA;278;20;NA;257;20;NA;307
19910816T200000;NA;NA;292;NA;NA;304;NA;NA;255;NA;NA;235
19910816T210000;10;320;294;10;320;304;10;320;5;10;320;309
19910816T220000;NA;NA;300;NA;NA;287;NA;NA;332;NA;NA;282
19910816T230000;10;NA;326;10;NA;315;10;NA;300;10;NA;298
