#datetime;AU#1:gas.atm.V.windspeed;AU#1:gas.atm.degree.mainwinddir;AU#1:gas.atm.degree.winddir;AU#2:gas.atm.V.windspeed;AU#2:gas.atm.degree.mainwinddir;AU#2:gas.atm.degree.winddir;AU#3:gas.atm.V.windspeed;AU#3:gas.atm.degree.mainwinddir;AU#3:gas.atm.degree.winddir;AU#4:gas.atm.V.windspeed;AU#4:gas.atm.degree.mainwinddir;AU#4:gas.atm.degree.winddir
19910812T090000;25;310;0;25;310;0;25;310;0;25;310;0
19910812T100000;NA;NA;296;NA;NA;318;NA;NA;282;NA;NA;315
19910812T110000;30;NA;303;30;NA;332;30;NA;297;30;NA;315
19910812T120000;NA;NA;318;NA;NA;275;NA;NA;280;NA;NA;329
19910812T130000;45;NA;266;45;NA;288;45;NA;348;45;NA;316
19910812T140000;NA;NA;309;NA;NA;354;NA;NA;337;NA;NA;290
19910812T150000;55;NA;272;55;NA;267;55;NA;284;55;NA;299
19910812T160000;NA;NA;298;NA;NA;296;NA;NA;288;NA;NA;339
19910812T170000;30;NA;322;30;NA;267;30;NA;314;30;NA;324
19910812T180000;NA;290;325;NA;290;303;NA;290;286;NA;290;267
19910812T190000;20;NA;284;20;NA;326;20;NA;253;20;NA;312
19910812T200000;NA;NA;303;NA;NA;304;NA;NA;303;NA;NA;333
19910812T210000;15;NA;300;15;NA;330;15;NA;298;15;NA;280
19910812T220000;NA;NA;323;NA;NA;275;NA;NA;334;NA;NA;316
19910812T230000;10;NA;254;10;NA;286;10;NA;327;10;NA;253
19910813T000000;NA;NA;284;NA;NA;286;NA;NA;290;NA;NA;282
19910813T010000;5;NA;261;5;NA;315;5;NA;326;5;NA;332
19910813T020000;NA;NA;297;NA;NA;281;NA;NA;315;NA;NA;288
19910813T030000;5;NA;274;5;NA;325;5;NA;335;5;NA;283
19910813T040000;NA;NA;301;NA;NA;261;NA;NA;269;NA;NA;255
19910813T050000;10;NA;291;10;NA;289;10;NA;262;10;NA;299
19910813T060000;NA;NA;322;NA;NA;290;NA;NA;293;NA;NA;255
19910813T063000;NA;320;NA;NA;320;NA;NA;320;NA;NA;320;NA
19910813T070000;30;NA;323;30;NA;323;30;NA;321;30;NA;332
19910813T080000;NA;NA;4;NA;NA;354;NA;NA;328;NA;NA;303
19910813T090000;50;NA;331;50;NA;303;50;NA;341;50;NA;3
19910813T100000;NA;NA;280;NA;NA;354;NA;NA;331;NA;NA;309
19910813T110000;75;NA;347;75;NA;283;75;NA;285;75;NA;276
19910813T120000;NA;NA;320;NA;NA;303;NA;NA;321;NA;NA;278
19910813T130000;95;NA;327;95;NA;307;95;NA;317;95;NA;280
19910813T140000;NA;NA;341;NA;NA;275;NA;NA;314;NA;NA;300
19910813T145000;NA;350;NA;NA;350;NA;NA;350;NA;NA;350;NA
19910813T150000;105;NA;25;105;NA;306;105;NA;34;105;NA;307
19910813T160000;NA;NA;35;NA;NA;350;NA;NA;35;NA;NA;11
19910813T170000;70;NA;14;70;NA;327;70;NA;326;70;NA;351
