#Annee-Mois-JourTHeure:Minute:Sec Debit(m3/s)
1997-06-05T04:00:00 0
1997-06-05T07:00:00 0
1997-06-05T07:04:00 0.00057
1997-06-05T07:05:00 0.00172
1997-06-05T07:06:00 0.00294
1997-06-05T07:08:00 0.00349
1997-06-05T07:18:00 0.00251
1997-06-05T07:30:00 0.00338
1997-06-05T07:31:00 0.00392
1997-06-05T07:32:00 0.00457
1997-06-05T07:33:00 0.00526
1997-06-05T07:34:00 0.00598
1997-06-05T07:35:00 0.0069
1997-06-05T07:40:00 0.00598
1997-06-05T07:42:00 0.00502
1997-06-05T07:45:00 0.00447
1997-06-05T07:49:00 0.00392
1997-06-05T07:52:00 0.00327
1997-06-05T08:04:00 0.00272
1997-06-05T08:11:00 0.00191
1997-06-05T08:20:00 0.00096
1997-06-05T08:25:00 0.00051
1997-06-05T08:35:00 0.00013
1997-06-05T08:51:00 0
1997-06-05T12:28:00 0
1997-06-05T12:36:00 0.00045
1997-06-05T12:50:00 0
1997-06-05T16:23:00 0
