#Year-Month-DayTHour:Minute:Sec Downstream(m3/s)
1997-06-05T04:00:00 0
1997-06-05T06:23:00 0
1997-06-05T06:24:00 0.00045
1997-06-05T06:25:00 0.00089
1997-06-05T06:29:00 0.00051
1997-06-05T06:32:00 0.00089
1997-06-05T06:33:00 0.0016
1997-06-05T06:35:00 0.0014
1997-06-05T06:39:00 0.00147
1997-06-05T06:40:00 0.00115
1997-06-05T06:42:00 0.0007
1997-06-05T06:44:00 0.00038
1997-06-05T06:50:00 0.00013
1997-06-05T06:55:00 0
1997-06-05T06:59:00 0.00026
1997-06-05T07:00:00 0.00134
1997-06-05T07:01:00 0.0023
1997-06-05T07:02:00 0.0037
1997-06-05T07:03:00 0.00479
1997-06-05T07:05:00 0.00425
1997-06-05T07:06:00 0.00338
1997-06-05T07:07:00 0.00251
1997-06-05T07:08:00 0.00211
1997-06-05T07:09:00 0.00179
1997-06-05T07:11:00 0.00134
1997-06-05T07:13:00 0.00089
1997-06-05T07:28:00 0.0016
1997-06-05T07:29:00 0.00316
1997-06-05T07:30:00 0.00447
1997-06-05T07:33:00 0.0055
1997-06-05T07:34:00 0.00662
1997-06-05T07:35:00 0.00865
1997-06-05T07:36:00 0.01023
1997-06-05T07:38:00 0.00865
1997-06-05T07:39:00 0.00648
1997-06-05T07:40:00 0.00502
1997-06-05T07:41:00 0.00403
1997-06-05T07:42:00 0.00327
1997-06-05T07:47:00 0.00261
1997-06-05T07:49:00 0.00191
1997-06-05T07:51:00 0.00147
1997-06-05T08:02:00 0.00102
1997-06-05T08:04:00 0.0007
1997-06-05T08:07:00 0.00032
1997-06-05T08:20:00 0
1997-06-05T12:26:00 0
1997-06-05T12:29:00 0.00038
1997-06-05T12:33:00 0.0007
1997-06-05T12:35:00 0.00115
1997-06-05T12:37:00 0.00166
1997-06-05T12:40:00 0.00128
1997-06-05T12:42:00 0.00089
1997-06-05T12:44:00 0.00045
1997-06-05T12:46:00 0.00013
1997-06-05T12:56:00 0
1997-06-05T16:23:00 0
