#datetime;TLU#1:examples.TLU.S.state;TLU#1:examples.TLU.T.changeTime;TLU#2:examples.TLU.S.state;TLU#2:examples.TLU.T.changeTime;TLU#3:examples.TLU.S.state;TLU#3:examples.TLU.T.changeTime;TLU#4:examples.TLU.S.state;TLU#4:examples.TLU.T.changeTime;TLU#5:examples.TLU.S.state;TLU#5:examples.TLU.T.changeTime;TLU#6:examples.TLU.S.state;TLU#6:examples.TLU.T.changeTime
20130531T090000;false;300;true;300;true;300;true;300;false;300;false;300
20130531T090100;false;300;true;300;true;300;true;300;false;300;false;300
20130531T090200;false;300;true;300;true;300;true;300;false;300;false;300
20130531T090300;false;300;true;300;true;300;true;300;false;300;false;300
20130531T090400;false;300;true;300;true;300;true;300;false;300;false;300
20130531T090500;true;600;false;600;false;600;false;600;true;600;true;600
20130531T090600;true;600;false;600;false;600;false;600;true;600;true;600
20130531T090700;true;600;false;600;false;600;false;600;true;600;true;600
20130531T090800;true;600;false;600;false;600;false;600;true;600;true;600
20130531T090900;true;600;false;600;false;600;false;600;true;600;true;600
20130531T091000;false;900;true;900;true;900;true;900;false;900;false;900
20130531T091100;false;900;true;900;true;900;true;900;false;900;false;900
20130531T091200;false;900;true;900;true;900;true;900;false;900;false;900
20130531T091300;false;900;true;900;true;900;true;900;false;900;false;900
20130531T091400;false;900;true;900;true;900;true;900;false;900;false;900
20130531T091500;true;1200;false;1200;false;1200;false;1200;true;1200;true;1200
20130531T091600;true;1200;false;1200;false;1200;false;1200;true;1200;true;1200
20130531T091700;true;1200;false;1200;false;1200;false;1200;true;1200;true;1200
20130531T091800;true;1200;false;1200;false;1200;false;1200;true;1200;true;1200
20130531T091900;true;1200;false;1200;false;1200;false;1200;true;1200;true;1200
20130531T092000;false;1500;true;1500;true;1500;true;1500;false;1500;false;1500
20130531T092100;false;1500;true;1500;true;1500;true;1500;false;1500;false;1500
20130531T092200;false;1500;true;1500;true;1500;true;1500;false;1500;false;1500
20130531T092300;false;1500;true;1500;true;1500;true;1500;false;1500;false;1500
20130531T092400;false;1500;true;1500;true;1500;true;1500;false;1500;false;1500
20130531T092500;true;1800;false;1800;false;1800;false;1800;true;1800;true;1800
20130531T092600;true;1800;false;1800;false;1800;false;1800;true;1800;true;1800
20130531T092700;true;1800;false;1800;false;1800;false;1800;true;1800;true;1800
20130531T092800;true;1800;false;1800;false;1800;false;1800;true;1800;true;1800
20130531T092900;true;1800;false;1800;false;1800;false;1800;true;1800;true;1800
20130531T093000;false;2100;true;2100;true;2100;true;2100;false;2100;false;2100
20130531T093100;false;2100;true;2100;true;2100;true;2100;false;2100;false;2100
20130531T093200;false;2100;true;2100;true;2100;true;2100;false;2100;false;2100
20130531T093300;false;2100;true;2100;true;2100;true;2100;false;2100;false;2100
20130531T093400;false;2100;true;2100;true;2100;true;2100;false;2100;false;2100
20130531T093500;true;2400;false;2400;false;2400;false;2400;true;2400;true;2400
20130531T093600;true;2400;false;2400;false;2400;false;2400;true;2400;true;2400
20130531T093700;true;2400;false;2400;false;2400;false;2400;true;2400;true;2400
20130531T093800;true;2400;false;2400;false;2400;false;2400;true;2400;true;2400
20130531T093900;true;2400;false;2400;false;2400;false;2400;true;2400;true;2400
